iter	Passed	Remaining
0	1	139
1	2	123
2	3	116
3	4	106
4	5	108
5	6	106
6	7	105
7	8	103
8	10	101
9	11	100
10	12	98
11	13	97
12	14	95
13	15	94
14	16	93
15	17	91
16	18	90
17	19	90
18	21	89
19	22	88
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	81
26	29	80
27	30	79
28	31	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	39	70
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	59	48
55	60	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	71	38
65	72	37
66	73	36
67	74	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	105	5
95	106	4
96	107	3
97	108	2
98	110	1
99	111	0
